,last
2187,25079
2188,25078
2189,25077
2190,25077
2191,25075
2192,25074
2193,25070
2194,25071
2195,25072
2196,25072
2197,25075
2198,25074
2199,25075
2200,25077
2201,25077
2202,25077
2203,25075
2204,25077
2205,25077
2206,25074
2207,25074
2208,25075
2209,25078
2210,25076
2211,25076
2212,25077
2213,25074
2214,25072
2215,25070
2216,25071
2217,25071
2218,25073
2219,25074
2220,25077
2221,25079
2222,25077
2223,25075
2224,25075
2225,25073
2226,25069
2227,25068
2228,25068
2229,25065
2230,25066
2231,25068
2232,25069
2233,25069
2234,25071
2235,25066
2236,25064
2237,25064
2238,25064
2239,25064
2240,25064
2241,25066
2242,25072
2243,25072
2244,25073
2245,25076
2246,25077
2247,25079
2248,25080
2249,25080
2250,25080
2251,25080
2252,25079
2253,25076
2254,25070
2255,25071
2256,25068
2257,25067
2258,25068
2259,25068
2260,25069
2261,25069
2262,25067
2263,25064
2264,25063
2265,25063
2266,25065
2267,25067
2268,25067
2269,25066
2270,25064
2271,25062
2272,25063
2273,25063
2274,25061
2275,25063
2276,25064
2277,25066
2278,25063
2279,25060
2280,25060
2281,25059
2282,25058
2283,25055
2284,25059
2285,25059
2286,25059
2287,25059
2288,25062
2289,25064
2290,25065
2291,25066
2292,25065
2293,25065
2294,25069
2295,25070
2296,25070
2297,25072
2298,25070
2299,25069
2300,25071
2301,25073
2302,25075
2303,25073
2304,25073
2305,25073
2306,25074
2307,25076
2308,25075
2309,25074
2310,25076
2311,25078
2312,25078
2313,25075
2314,25076
2315,25074
2316,25074
2317,25071
2318,25069
2319,25068
2320,25066
2321,25065
2322,25066
2323,25070
2324,25068
2325,25067
2326,25065
2327,25064
2328,25065
2329,25065
2330,25070
2331,25070
2332,25073
2333,25071
2334,25068
2335,25068
2336,25069
2337,25068
2338,25069
2339,25069
2340,25069
2341,25072
2342,25075
2343,25077
2344,25077
2345,25075
2346,25074
2347,25074
2348,25072
2349,25070
2350,25071
2351,25071
2352,25074
2353,25075
2354,25077
2355,25078
2356,25080
2357,25078
2358,25079
2359,25080
2360,25083
2361,25080
2362,25080
2363,25079
2364,25082
2365,25081
2366,25080
2367,25081
2368,25078
2369,25077
2370,25073
2371,25080
2372,25090
2373,25093
2374,25093
2375,25096
2376,25098
2377,25091
2378,25099
2379,25100
2380,25100
2381,25095
2382,25100
2383,25101
2384,25099
2385,25102
2386,25099
2387,25103
2388,25102
2389,25103
